id;name;logo;logo_content_type
1;whoever boohoo;../fake-data/blob/hipster.png;image/png
2;notwithstanding drat;../fake-data/blob/hipster.png;image/png
3;cleverly;../fake-data/blob/hipster.png;image/png
4;sleep mid for;../fake-data/blob/hipster.png;image/png
5;till;../fake-data/blob/hipster.png;image/png
6;phooey anti gee;../fake-data/blob/hipster.png;image/png
7;essential amongst;../fake-data/blob/hipster.png;image/png
8;pish daily;../fake-data/blob/hipster.png;image/png
9;deliberately;../fake-data/blob/hipster.png;image/png
10;although oh freight;../fake-data/blob/hipster.png;image/png
