id;code;title;fiscal_year;budget;created_date;start_date;deployment_date;end_date;description;po_number;jira_code;jira_update;project_status;project_financial_status;channel_id;goal_id
1;impudence kindly now;athwart brr seller;2023-09-16;8302.97;2023-09-16;2023-09-16;2023-09-17;2023-09-17;fly whether;energetically;dilute now;2023-09-17;READY;BAD;1;1
2;and;frozen;2023-09-16;23485.79;2023-09-16;2023-09-16;2023-09-16;2023-09-16;how;batting marionberry;ouch whereas;2023-09-16;READY;GOOD;2;2
3;sternly;coolly jam-packed;2023-09-16;13733.93;2023-09-17;2023-09-16;2023-09-16;2023-09-16;aw;livid;wasteful stand;2023-09-16;STARTED;BAD;3;3
4;teriyaki regarding;where thermostat;2023-09-17;1399.69;2023-09-16;2023-09-16;2023-09-16;2023-09-17;furthermore total;eventually fooey itinerary;annually banquette;2023-09-17;COMPLETED;BAD;4;1
5;yowza roar;enthusiastically knottily utterly;2023-09-16;3057.12;2023-09-16;2023-09-16;2023-09-16;2023-09-16;mismatch nor;physically;likewise yet though;2023-09-17;COMPLETED;BAD;5;2
6;given fritter mobilize;brand concerning fooey;2023-09-16;11812.09;2023-09-16;2023-09-16;2023-09-16;2023-09-17;ordinary superficial;scattering huzzah;wrongly passenger;2023-09-16;STARTED;GOOD;1;3
7;dismount aside vacantly;glistening pillow;2023-09-16;13001.04;2023-09-17;2023-09-16;2023-09-16;2023-09-16;spiritual schedule tedious;truly;bicycle;2023-09-16;STARTED;GOOD;2;3
8;considering untimely quizzically;triumphantly;2023-09-16;9086.74;2023-09-16;2023-09-16;2023-09-16;2023-09-17;however;zowie;sure-footed a plant;2023-09-16;STARTED;GOOD;2;3
9;lam amidst;knotty grip;2023-09-16;29090.12;2023-09-16;2023-09-17;2023-09-17;2023-09-16;capacity gestate;manure;next redecorate while;2023-09-16;COMPLETED;GOOD;1;2
10;towards meanwhile;silently;2023-09-17;17766.62;2023-09-16;2023-09-17;2023-09-16;2023-09-16;whoever;towards bah besides;benchmark married;2023-09-16;STARTED;BAD;3;2
